t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0011,0.485264,0.499978,0.493684,0.526295,0.481551,0.498019,0.503146,0.535026,0.455575,0.493128,0.472024,0.528524,0.461146,0.572612,0.525502,0.499869,0.482272,0.48984,0.537317,0.546072,0.501362,0.524333,0.511095,0.460648,0.539784,5.34446,0.576908,0.505899,0.513639,0.528379,0.505913,0.49275,0.489919,0.477927,0.515688,0.500407,0.493223,0.516108,0.476554,0.496626,0.490031,0.514655,0.476459,0.526961,0.544884,0.499734,0.492905,0.516182,0.502956,0.454392,0.0203042
0.0012,0.485148,0.499651,0.494381,0.526106,0.481549,0.498961,0.502853,0.534787,0.455742,0.493251,0.472313,0.528905,0.460467,0.572828,0.526016,0.499906,0.482022,0.490318,0.537393,0.545661,0.502302,0.523786,0.511469,0.460732,0.551007,5.32368,0.587867,0.505946,0.513907,0.528354,0.505966,0.492974,0.489837,0.478118,0.515237,0.501289,0.492924,0.516182,0.476758,0.497231,0.489287,0.515135,0.476694,0.526703,0.545928,0.49917,0.493292,0.515899,0.503095,0.454557,0.0203011
0.0013,0.485039,0.499314,0.495087,0.525898,0.481561,0.499909,0.502559,0.534529,0.455923,0.493372,0.472618,0.529256,0.459831,0.572997,0.526554,0.499931,0.481779,0.490805,0.537461,0.545234,0.503265,0.523226,0.511836,0.46085,0.563149,5.30101,0.59974,0.506024,0.514167,0.528323,0.506016,0.493199,0.489765,0.478316,0.514777,0.502163,0.492632,0.516247,0.476975,0.49783,0.488555,0.51559,0.476954,0.52644,0.54696,0.49861,0.493687,0.515609,0.503226,0.454732,0.0212359
0.0014,0.484937,0.498968,0.4958,0.525671,0.481588,0.500862,0.502262,0.534255,0.456119,0.49349,0.472936,0.529577,0.459239,0.573118,0.527117,0.499944,0.481544,0.491303,0.53752,0.544791,0.504249,0.522654,0.512197,0.461006,0.576197,5.27649,0.612514,0.506138,0.514419,0.528286,0.506063,0.493426,0.489702,0.478521,0.514308,0.503026,0.492348,0.516303,0.477205,0.498422,0.487835,0.516022,0.477238,0.526174,0.547979,0.498053,0.494089,0.515312,0.503349,0.454918,0.0202539
0.0015,0.484843,0.498614,0.496519,0.525427,0.481628,0.50182,0.501963,0.533963,0.45633,0.493607,0.473269,0.529868,0.458691,0.573193,0.527704,0.499946,0.481317,0.491811,0.537572,0.544331,0.505254,0.522072,0.512551,0.461203,0.590138,5.25013,0.626172,0.506293,0.514661,0.528243,0.506107,0.493654,0.489649,0.478734,0.513832,0.50388,0.492072,0.516349,0.477448,0.499007,0.487128,0.516429,0.477546,0.525905,0.548984,0.497501,0.494497,0.515009,0.503463,0.455113,0.0202498
0.0016,0.484755,0.498251,0.497244,0.525166,0.481683,0.502783,0.501662,0.533655,0.456555,0.493721,0.473615,0.530129,0.458188,0.573221,0.528315,0.499937,0.481098,0.492328,0.537616,0.543857,0.50628,0.521478,0.512898,0.461444,0.604955,5.22195,0.6407,0.506491,0.514895,0.528195,0.50615,0.493883,0.489606,0.478953,0.513349,0.504721,0.491805,0.516386,0.477704,0.499585,0.486435,0.516811,0.477877,0.525633,0.549974,0.496955,0.494912,0.5147,0.50357,0.455319,0.0204771
0.0017,0.484675,0.497882,0.497973,0.524889,0.481751,0.50375,0.501359,0.53333,0.456793,0.493835,0.473974,0.53036,0.45773,0.573203,0.528948,0.499916,0.480887,0.492853,0.537653,0.543367,0.507325,0.520874,0.513239,0.461734,0.620634,5.19198,0.65608,0.506738,0.515119,0.528141,0.50619,0.494114,0.489573,0.479178,0.51286,0.505551,0.491547,0.516413,0.477973,0.500155,0.485756,0.517169,0.478233,0.525358,0.55095,0.496413,0.495333,0.514386,0.503668,0.455534,0.020767
0.0018,0.484601,0.497506,0.498705,0.524596,0.481832,0.504722,0.501054,0.532989,0.457045,0.493947,0.474346,0.530562,0.457317,0.573138,0.529605,0.499885,0.480685,0.493388,0.537681,0.542864,0.508389,0.52026,0.513574,0.462076,0.637155,5.16026,0.672295,0.507039,0.515334,0.528081,0.506228,0.494345,0.48955,0.479409,0.512366,0.506367,0.491299,0.516431,0.478255,0.500716,0.485092,0.517501,0.478613,0.525082,0.551909,0.495879,0.49576,0.514068,0.503757,0.45576,0.0205209
0.0019,0.484534,0.497124,0.49944,0.52429,0.481926,0.505697,0.500747,0.532631,0.45731,0.494059,0.47473,0.530733,0.456949,0.573026,0.530283,0.499843,0.480492,0.49393,0.537702,0.542346,0.509471,0.519636,0.513902,0.462474,0.654502,5.12679,0.689325,0.507397,0.51554,0.528016,0.506265,0.494576,0.489538,0.479646,0.511867,0.507169,0.491061,0.51644,0.478548,0.501269,0.484444,0.517808,0.479016,0.524803,0.552853,0.49535,0.496191,0.513746,0.503837,0.455996,0.0204561
0.002,0.484473,0.496736,0.500177,0.523969,0.482032,0.506677,0.500439,0.532258,0.457588,0.49417,0.475125,0.530875,0.456627,0.572869,0.530984,0.49979,0.480308,0.49448,0.537716,0.541816,0.510571,0.519004,0.514224,0.462933,0.672654,5.09163,0.70715,0.507819,0.515736,0.527946,0.5063,0.494808,0.489536,0.479887,0.511365,0.507956,0.490835,0.51644,0.478854,0.501814,0.483812,0.518089,0.479442,0.524524,0.553779,0.49483,0.496627,0.51342,0.503907,0.456242,0.0202651
