t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0001,0.439354,0.52471,0.552344,0.479956,0.535636,0.511607,0.443179,0.419783,0.506206,0.611449,0.458548,0.499024,0.406358,0.524343,0.494012,0.481223,0.368198,0.583048,0.586047,0.480498,0.488648,0.486128,0.505707,0.424393,0.544013,5.45563,0.513133,0.505755,0.55603,0.652139,0.477454,0.513221,0.500156,0.475642,0.494787,0.52597,0.440649,0.448132,0.458978,0.488282,0.502788,0.405397,0.442544,0.477161,0.466312,0.437513,0.557458,0.61224,0.457389,0.486872,0.00396204
0.0002,0.440204,0.524188,0.551732,0.4814,0.534157,0.5123,0.442846,0.419937,0.506485,0.612511,0.459926,0.497493,0.40604,0.525363,0.494396,0.479957,0.368322,0.584675,0.584847,0.480644,0.489379,0.485394,0.506196,0.425165,0.546775,5.45295,0.513916,0.505543,0.556344,0.651462,0.478546,0.513006,0.500228,0.47606,0.494698,0.526752,0.439264,0.448498,0.460372,0.486449,0.503264,0.406858,0.441893,0.477739,0.465032,0.437808,0.558115,0.612623,0.458253,0.485956,0.0038991
0.0003,0.441062,0.523674,0.551083,0.482881,0.532656,0.512986,0.442519,0.420104,0.506779,0.613512,0.461356,0.495936,0.405756,0.526358,0.494778,0.478666,0.368529,0.586256,0.583625,0.480785,0.490138,0.484663,0.506672,0.425986,0.550443,5.4483,0.515736,0.505312,0.556679,0.650723,0.479681,0.51279,0.500279,0.476495,0.494621,0.527508,0.437889,0.44888,0.461758,0.484612,0.503719,0.408342,0.441244,0.478323,0.463736,0.43813,0.558752,0.612968,0.459165,0.485026,0.00379801
0.0004,0.441927,0.523169,0.550399,0.484398,0.531135,0.513664,0.442199,0.420284,0.507089,0.614451,0.462836,0.494355,0.405507,0.527326,0.495157,0.477352,0.368818,0.587791,0.582383,0.48092,0.490924,0.483935,0.507137,0.426857,0.555012,5.44168,0.518594,0.505061,0.557035,0.649924,0.480858,0.512574,0.50031,0.476944,0.494557,0.528237,0.436524,0.449278,0.463136,0.482771,0.504153,0.409847,0.440599,0.478912,0.462427,0.438481,0.559368,0.613275,0.460125,0.484082,0.00373411
0.0005,0.4428,0.522675,0.549679,0.485949,0.529596,0.514332,0.441886,0.420476,0.507414,0.615328,0.464366,0.49275,0.405293,0.528266,0.495533,0.476015,0.369189,0.589278,0.581121,0.481049,0.491737,0.483212,0.507589,0.427779,0.560479,5.43311,0.522487,0.504788,0.557413,0.649065,0.482075,0.51236,0.50032,0.477409,0.494506,0.528936,0.435172,0.449693,0.464504,0.480928,0.504566,0.411371,0.439958,0.479506,0.461104,0.438861,0.559963,0.613545,0.461133,0.483125,0.00373006
0.0006,0.443678,0.522191,0.548925,0.487533,0.52804,0.514991,0.441581,0.420681,0.507755,0.616141,0.465944,0.491122,0.405115,0.529179,0.495905,0.474658,0.369642,0.590716,0.579843,0.481171,0.492577,0.482494,0.508029,0.428753,0.566838,5.42259,0.527416,0.504491,0.557813,0.648149,0.483331,0.512147,0.50031,0.477887,0.49447,0.529606,0.433833,0.450123,0.465863,0.479084,0.504959,0.412912,0.439323,0.480105,0.459767,0.439271,0.560537,0.613777,0.462187,0.482155,0.00354505
0.0007,0.444563,0.521717,0.548138,0.489149,0.526468,0.515639,0.441284,0.420898,0.508113,0.616892,0.46757,0.489473,0.404972,0.530064,0.496273,0.473281,0.370176,0.592104,0.578548,0.481286,0.493443,0.481782,0.508455,0.42978,0.574083,5.41012,0.533376,0.504171,0.558235,0.647175,0.484625,0.511937,0.500281,0.478379,0.49445,0.530246,0.432509,0.450568,0.467209,0.477241,0.505331,0.41447,0.438695,0.480707,0.458417,0.439709,0.56109,0.613973,0.463287,0.481174,0.00355601
0.0008,0.445454,0.521255,0.547317,0.490794,0.524881,0.516277,0.440996,0.421127,0.508487,0.617579,0.469243,0.487804,0.404864,0.530921,0.496635,0.471886,0.370792,0.593441,0.577238,0.481393,0.494334,0.481078,0.508869,0.430863,0.582207,5.39572,0.540363,0.503826,0.558679,0.646145,0.485954,0.51173,0.500231,0.478883,0.494445,0.530854,0.4312,0.451029,0.468543,0.475399,0.505684,0.416043,0.438075,0.481312,0.457053,0.440178,0.56162,0.614132,0.464432,0.48018,0.00351596
0.0009,0.446349,0.520805,0.546463,0.492468,0.523281,0.516903,0.440717,0.421366,0.50888,0.618203,0.470963,0.486116,0.404792,0.531748,0.496992,0.470473,0.371487,0.594727,0.575915,0.481491,0.49525,0.48038,0.509269,0.432003,0.5912,5.3794,0.548371,0.503457,0.559146,0.64506,0.487319,0.511528,0.500162,0.479398,0.494457,0.531429,0.429909,0.451504,0.469864,0.47356,0.506017,0.417629,0.437466,0.48192,0.455675,0.440677,0.562129,0.614254,0.465623,0.479175,0.00338602
0.001,0.44725,0.520367,0.545577,0.494169,0.521669,0.517517,0.440447,0.421618,0.50929,0.618763,0.472727,0.48441,0.404756,0.532545,0.497343,0.469046,0.372262,0.595959,0.574581,0.481582,0.49619,0.479692,0.509656,0.433202,0.601053,5.36117,0.557394,0.503064,0.559634,0.643922,0.488717,0.511331,0.500073,0.479925,0.494486,0.53197,0.428635,0.451995,0.471169,0.471726,0.50633,0.419226,0.436867,0.48253,0.454285,0.441205,0.562615,0.614341,0.466858,0.478159,0.00342083
0.0011,0.448156,0.519941,0.54466,0.495895,0.520045,0.518119,0.440186,0.421879,0.509718,0.619259,0.474535,0.482688,0.404756,0.533312,0.497687,0.467604,0.373115,0.597137,0.573236,0.481663,0.497154,0.479012,0.510029,0.434463,0.611756,5.34104,0.567423,0.502647,0.560146,0.642731,0.490146,0.511139,0.499965,0.480462,0.494533,0.532477,0.42738,0.452499,0.472459,0.469896,0.506624,0.420833,0.43628,0.483142,0.452882,0.441765,0.563077,0.614391,0.468136,0.477132,0.00343084
0.0012,0.449065,0.519528,0.543713,0.497645,0.518412,0.518707,0.439936,0.422152,0.510164,0.619691,0.476386,0.480951,0.404792,0.534049,0.498024,0.46615,0.374047,0.598261,0.571882,0.481734,0.498141,0.478343,0.510389,0.435787,0.623296,5.31904,0.578449,0.502208,0.560679,0.641489,0.491606,0.510954,0.499839,0.481009,0.494599,0.532949,0.426146,0.453018,0.473733,0.468074,0.506899,0.422448,0.435706,0.483754,0.451467,0.442355,0.563517,0.614405,0.469456,0.476096,0.00324988
0.0013,0.449978,0.519127,0.542736,0.499417,0.516771,0.519281,0.439697,0.422434,0.510629,0.62006,0.478278,0.479199,0.404863,0.534754,0.498353,0.464686,0.375055,0.599329,0.570521,0.481795,0.499151,0.477684,0.510735,0.437177,0.635662,5.29518,0.590461,0.501748,0.561235,0.640197,0.493094,0.510775,0.499694,0.481564,0.494684,0.533384,0.424933,0.45355,0.474989,0.466259,0.507156,0.42407,0.435147,0.484367,0.450039,0.442975,0.563934,0.614384,0.470819,0.475051,0.00326395
0.0014,0.450895,0.51874,0.54173,0.50121,0.515123,0.519841,0.439468,0.422727,0.511114,0.620365,0.48021,0.477436,0.404971,0.535428,0.498673,0.463212,0.37614,0.600342,0.569153,0.481846,0.500183,0.477037,0.511068,0.438637,0.648839,5.26948,0.603449,0.501269,0.561812,0.638858,0.49461,0.510605,0.499531,0.482127,0.494789,0.533783,0.423742,0.454095,0.476226,0.464453,0.507394,0.425696,0.434604,0.48498,0.4486,0.443627,0.564326,0.614329,0.472222,0.473997,0.00310707
0.0015,0.451815,0.518367,0.540696,0.503021,0.51347,0.520386,0.43925,0.423028,0.511617,0.620606,0.482182,0.475661,0.405113,0.53607,0.498983,0.46173,0.3773,0.601297,0.567781,0.481886,0.501236,0.476403,0.511388,0.440168,0.662814,5.24197,0.617398,0.500772,0.562412,0.637471,0.496151,0.510444,0.49935,0.482698,0.494915,0.534143,0.422576,0.454654,0.477443,0.462657,0.507615,0.427326,0.434078,0.485591,0.447149,0.444309,0.564695,0.614238,0.473665,0.472935,0.00264597
0.0016,0.452737,0.518008,0.539635,0.50485,0.511812,0.520916,0.439044,0.423339,0.51214,0.620784,0.484191,0.473876,0.405292,0.53668,0.499284,0.460243,0.378534,0.602196,0.566405,0.481914,0.502309,0.475781,0.511694,0.441775,0.677569,5.21266,0.632296,0.50026,0.563033,0.63604,0.497716,0.510292,0.499152,0.483274,0.495061,0.534465,0.421433,0.455225,0.47864,0.460873,0.507817,0.428958,0.433571,0.486202,0.445687,0.445023,0.56504,0.614114,0.475148,0.471865,0.00262713
