t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0001,0.501182,0.50367,0.48432,0.514913,0.514232,0.497044,0.491718,0.508452,0.494287,0.494466,0.503097,0.511926,0.493341,0.503095,0.499518,0.484331,0.500752,0.484943,0.493556,0.486186,0.506809,0.501723,0.5016,0.497215,0.523489,5.45652,0.493128,0.491797,0.498309,0.50888,0.502312,0.503418,0.481828,0.5168,0.487832,0.502269,0.49076,0.495644,0.497571,0.506091,0.521398,0.500616,0.509751,0.483742,0.499173,0.513296,0.490716,0.51783,0.495535,0.504957,0.042954
0.0002,0.501228,0.503706,0.48407,0.515007,0.514249,0.496537,0.492024,0.508422,0.494248,0.494924,0.503266,0.512238,0.493681,0.503257,0.499815,0.484075,0.500991,0.485454,0.493553,0.48624,0.506937,0.502033,0.501926,0.497382,0.524448,5.45555,0.493435,0.492301,0.498738,0.508926,0.502605,0.50353,0.482136,0.516627,0.487818,0.502754,0.491048,0.496071,0.497143,0.506241,0.521785,0.500582,0.509966,0.483994,0.499075,0.513545,0.490707,0.518195,0.495514,0.505375,0.0409911
0.0003,0.500937,0.504143,0.484458,0.515007,0.514688,0.495989,0.492507,0.508528,0.494038,0.495385,0.503912,0.512581,0.493763,0.503612,0.499719,0.483843,0.501319,0.485259,0.493974,0.486783,0.507018,0.502079,0.502099,0.497608,0.526154,5.45458,0.494489,0.492742,0.499023,0.50893,0.502724,0.503604,0.48193,0.516978,0.487742,0.503011,0.49126,0.496609,0.49677,0.506552,0.522197,0.50062,0.51028,0.483895,0.498988,0.514011,0.490551,0.517996,0.495772,0.505617,0.0405838
0.0004,0.501268,0.504158,0.484245,0.51494,0.51474,0.495717,0.492743,0.508471,0.494276,0.495097,0.504231,0.512625,0.494185,0.503666,0.500127,0.484343,0.501467,0.48572,0.49366,0.486824,0.507357,0.50236,0.502381,0.497796,0.527639,5.45319,0.495407,0.49322,0.499315,0.509147,0.502432,0.503771,0.482319,0.517213,0.487787,0.503286,0.491592,0.497248,0.496029,0.507005,0.52226,0.501315,0.510561,0.483879,0.499154,0.514117,0.490361,0.517901,0.496015,0.505595,0.040879
0.0005,0.501289,0.504567,0.484102,0.514927,0.514906,0.495287,0.492699,0.508759,0.494207,0.494887,0.504464,0.512737,0.494523,0.503904,0.499773,0.484324,0.501897,0.485857,0.493557,0.487007,0.507693,0.502715,0.502442,0.498325,0.530517,5.45257,0.497688,0.493606,0.499667,0.509192,0.502633,0.503128,0.482788,0.517111,0.48758,0.503605,0.49165,0.497691,0.495786,0.507311,0.522736,0.501334,0.511004,0.483523,0.499671,0.514228,0.490402,0.517913,0.496397,0.50603,0.0411038
0.0006,0.501031,0.504725,0.483833,0.514863,0.515553,0.494989,0.493151,0.509012,0.493987,0.495173,0.504896,0.512663,0.494823,0.504412,0.499933,0.484501,0.502138,0.485717,0.493587,0.487098,0.507596,0.503178,0.502587,0.498678,0.533394,5.4493,0.499736,0.494229,0.499668,0.509478,0.502767,0.503639,0.482644,0.517312,0.487709,0.503546,0.491662,0.497753,0.495717,0.507617,0.522647,0.501711,0.511757,0.483886,0.500536,0.514471,0.490363,0.517994,0.496929,0.50616,0.040684
0.0007,0.501261,0.504931,0.483392,0.515244,0.51576,0.495059,0.493737,0.509073,0.494352,0.495084,0.505321,0.513071,0.494994,0.504876,0.500058,0.484817,0.502373,0.486001,0.493346,0.487804,0.507672,0.503405,0.502466,0.49864,0.536039,5.44561,0.501526,0.49466,0.500131,0.509805,0.502831,0.503397,0.483077,0.517471,0.48757,0.504031,0.491761,0.498257,0.49522,0.50838,0.522549,0.502038,0.512163,0.484193,0.501289,0.515078,0.490351,0.518295,0.49686,0.506028,0.0407379
0.0008,0.501541,0.505391,0.483519,0.515642,0.515822,0.494871,0.494236,0.508915,0.494153,0.494999,0.50575,0.513147,0.494992,0.50499,0.49983,0.484589,0.502355,0.485756,0.492902,0.48814,0.50783,0.503678,0.503,0.49887,0.539485,5.43986,0.50384,0.495396,0.500004,0.509763,0.50308,0.503426,0.483106,0.51769,0.487504,0.504349,0.492006,0.498686,0.494957,0.508813,0.522832,0.502659,0.512193,0.48452,0.501984,0.514977,0.490348,0.518257,0.496724,0.506133,0.0408599
0.0009,0.501765,0.505654,0.483581,0.51582,0.516274,0.494424,0.494503,0.508765,0.493944,0.494785,0.506279,0.51375,0.495031,0.505002,0.499909,0.484623,0.502751,0.48571,0.492771,0.488263,0.50794,0.504085,0.503174,0.49893,0.543658,5.43424,0.506873,0.495782,0.500185,0.509555,0.502788,0.503732,0.483319,0.51802,0.487748,0.504876,0.492028,0.499178,0.494855,0.508791,0.522927,0.5033,0.512662,0.484854,0.502223,0.514951,0.490747,0.517944,0.4968,0.505979,0.0416119
0.001,0.502225,0.506393,0.483826,0.51563,0.516361,0.493877,0.495054,0.508676,0.494054,0.494697,0.506579,0.513753,0.495555,0.505512,0.500076,0.48446,0.503232,0.485848,0.492763,0.488416,0.508017,0.504284,0.503236,0.498745,0.548352,5.42758,0.50972,0.496066,0.50066,0.509245,0.502495,0.504339,0.483339,0.5182,0.488273,0.504912,0.492187,0.499687,0.494245,0.509411,0.523029,0.503455,0.512563,0.4849,0.502441,0.514958,0.490744,0.518147,0.496651,0.505917,0.0411091
