t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0001,0.456291,0.415072,0.63768,0.4186,0.539761,0.585875,0.524165,0.450329,0.627466,0.416435,0.448601,0.570017,0.480835,0.42066,0.426122,0.437257,0.531982,0.479213,0.582252,0.609157,0.501805,0.41515,0.576392,0.388237,0.509179,4.77597,0.491373,0.497396,0.570977,0.437981,0.452304,0.499714,0.421843,0.314673,0.611347,0.576695,0.595401,0.537816,0.510731,0.472574,0.436312,0.522076,0.602668,0.382337,0.491159,0.535347,0.36961,0.474962,0.500019,0.593784,0.00250793
0.0002,0.45646,0.414254,0.637837,0.420378,0.53766,0.58384,0.526541,0.454146,0.623952,0.418126,0.44919,0.56881,0.482698,0.420055,0.424738,0.439254,0.530676,0.479298,0.58187,0.608521,0.502681,0.417369,0.573702,0.389845,0.514446,4.77278,0.490248,0.500135,0.56713,0.439824,0.451146,0.499802,0.422204,0.314446,0.613482,0.579178,0.591641,0.537745,0.510889,0.472747,0.436458,0.522427,0.603663,0.38109,0.490525,0.535233,0.370863,0.475004,0.500319,0.593996,0.00242209
0.0003,0.45662,0.41349,0.637918,0.422176,0.535603,0.581763,0.528903,0.458013,0.620362,0.419871,0.449778,0.567591,0.484559,0.41946,0.423336,0.441287,0.529337,0.479415,0.581455,0.607899,0.503539,0.419622,0.57097,0.391466,0.520607,4.76787,0.489955,0.502886,0.563264,0.441664,0.450027,0.499855,0.42254,0.314336,0.615517,0.581695,0.587845,0.537679,0.511081,0.472896,0.436627,0.522789,0.604579,0.379937,0.489863,0.535091,0.372132,0.475038,0.500659,0.594177,0.00248599
0.0004,0.456771,0.41278,0.637925,0.423994,0.53359,0.579645,0.531252,0.461926,0.616702,0.421667,0.450365,0.566362,0.486415,0.418878,0.421919,0.443354,0.527968,0.479563,0.581006,0.607292,0.504378,0.421907,0.568198,0.393102,0.527656,4.76125,0.490494,0.505648,0.559384,0.443499,0.448949,0.499874,0.422851,0.314344,0.617448,0.584243,0.584016,0.537617,0.511305,0.473021,0.436821,0.523164,0.605417,0.378877,0.489174,0.534921,0.373416,0.475064,0.50104,0.594326,0.00240207
0.0005,0.456912,0.412126,0.637859,0.42583,0.531622,0.577489,0.533587,0.465883,0.612975,0.423514,0.450951,0.565123,0.488265,0.418307,0.420487,0.445453,0.526568,0.47974,0.580524,0.606701,0.505196,0.424224,0.565389,0.394753,0.535588,4.75291,0.491864,0.508416,0.55549,0.445326,0.447912,0.499856,0.423135,0.314471,0.619277,0.58682,0.580158,0.537557,0.51156,0.473121,0.437039,0.523552,0.606173,0.377913,0.488456,0.534723,0.374714,0.475082,0.501461,0.594444,0.00230598
0.0006,0.457044,0.411526,0.637719,0.427682,0.5297,0.575298,0.535907,0.469879,0.609186,0.425408,0.451535,0.563876,0.490108,0.417749,0.419042,0.44758,0.525141,0.479947,0.580008,0.606127,0.505994,0.426571,0.562544,0.396421,0.544395,4.74286,0.494065,0.511188,0.551588,0.447143,0.44692,0.499801,0.423394,0.314717,0.621001,0.589424,0.576273,0.537499,0.511848,0.473198,0.437281,0.523953,0.606848,0.377045,0.487709,0.534499,0.376025,0.475093,0.501924,0.594531,0.00233698
0.0007,0.457166,0.410982,0.637508,0.429549,0.527823,0.573072,0.538212,0.473911,0.605338,0.427348,0.452118,0.562623,0.491941,0.417205,0.417586,0.449735,0.523687,0.480183,0.579459,0.605573,0.506769,0.428946,0.559666,0.398108,0.554069,4.73112,0.497094,0.513963,0.54768,0.448949,0.445972,0.49971,0.423627,0.315085,0.622621,0.592054,0.572364,0.537443,0.512167,0.473251,0.437547,0.524366,0.60744,0.376275,0.486932,0.53425,0.377349,0.475097,0.502427,0.594587,0.00234389
0.0008,0.457279,0.410492,0.637225,0.431428,0.525991,0.570815,0.5405,0.477975,0.601438,0.429331,0.4527,0.561365,0.493763,0.416673,0.41612,0.451915,0.522209,0.480446,0.578876,0.605038,0.507521,0.431349,0.556758,0.399816,0.564601,4.7177,0.500947,0.516738,0.543768,0.450742,0.44507,0.499581,0.423833,0.315574,0.624136,0.594708,0.568435,0.537386,0.512516,0.473281,0.437836,0.524794,0.607949,0.375602,0.486126,0.533975,0.378684,0.475095,0.502971,0.594612,0.00234294
0.0009,0.457381,0.410057,0.636873,0.433318,0.524207,0.568529,0.542772,0.482068,0.597488,0.431357,0.45328,0.560102,0.495573,0.416156,0.414647,0.454117,0.520707,0.480736,0.578259,0.604525,0.508249,0.433776,0.553821,0.401546,0.575981,4.70259,0.505621,0.519512,0.539855,0.452519,0.444215,0.499414,0.424013,0.316186,0.625545,0.597382,0.564489,0.537329,0.512895,0.473287,0.43815,0.525235,0.608375,0.375029,0.485289,0.533676,0.38003,0.475086,0.503555,0.594606,0.00221014
0.001,0.457474,0.409677,0.636452,0.435218,0.522468,0.566216,0.545026,0.486185,0.593494,0.433421,0.45386,0.558836,0.497369,0.415653,0.413167,0.456339,0.519183,0.481051,0.57761,0.604035,0.508954,0.436228,0.550858,0.403302,0.588198,4.68583,0.511109,0.522283,0.535945,0.454278,0.443409,0.499208,0.424166,0.316921,0.626848,0.600076,0.560528,0.53727,0.513305,0.473271,0.438488,0.52569,0.608715,0.374555,0.484421,0.533354,0.381385,0.475072,0.504179,0.594568,0.00220084
