t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0001,0.500904,0.503244,0.484753,0.514609,0.514262,0.497241,0.491846,0.508583,0.494821,0.494062,0.503099,0.511636,0.493103,0.502822,0.499473,0.48447,0.500987,0.485406,0.49319,0.486225,0.506765,0.501924,0.501755,0.497463,0.52313,5.45585,0.493184,0.491471,0.49826,0.50879,0.501999,0.503706,0.481729,0.517201,0.488046,0.502824,0.490621,0.494605,0.497204,0.505996,0.521193,0.500657,0.50961,0.483602,0.499231,0.513347,0.490858,0.517465,0.495711,0.504923,0.0390851
0.0002,0.500399,0.503846,0.484792,0.514923,0.514666,0.497367,0.491722,0.508579,0.494926,0.494015,0.502954,0.512058,0.493444,0.502782,0.499801,0.484211,0.500914,0.48554,0.493418,0.486499,0.507378,0.501801,0.502139,0.497427,0.523719,5.45648,0.493131,0.491643,0.498461,0.509129,0.501923,0.503437,0.481897,0.517345,0.488804,0.503107,0.491296,0.494674,0.49717,0.506047,0.521423,0.500645,0.509483,0.483874,0.499433,0.513669,0.49057,0.518143,0.496018,0.505097,0.038202
0.0003,0.500328,0.504033,0.48527,0.515392,0.515215,0.497436,0.491901,0.508217,0.495159,0.493764,0.503496,0.511893,0.493406,0.503175,0.500161,0.48436,0.500789,0.485549,0.493544,0.486882,0.507681,0.501738,0.502345,0.497709,0.524339,5.45597,0.493629,0.491982,0.499076,0.509596,0.502255,0.503679,0.482163,0.517818,0.488806,0.503508,0.491433,0.494768,0.496967,0.506574,0.521669,0.500823,0.50981,0.484024,0.49915,0.513579,0.490439,0.518138,0.49619,0.505257,0.0382001
0.0004,0.500429,0.504252,0.485367,0.515176,0.515495,0.497544,0.491793,0.508077,0.494939,0.493788,0.503712,0.512025,0.493733,0.503483,0.500566,0.484588,0.50081,0.485622,0.493594,0.487173,0.507501,0.502372,0.502202,0.497719,0.525337,5.45463,0.493942,0.492485,0.498514,0.509694,0.502495,0.503662,0.482098,0.517697,0.488713,0.50349,0.491818,0.494866,0.496536,0.506994,0.521718,0.501378,0.5102,0.484165,0.499611,0.513797,0.490787,0.518564,0.496487,0.505065,0.03934
0.0005,0.50018,0.504447,0.485419,0.515936,0.515799,0.497989,0.492045,0.50798,0.495247,0.494091,0.504411,0.512411,0.493771,0.503736,0.500705,0.48484,0.500477,0.485724,0.493557,0.487226,0.507884,0.502619,0.502565,0.497906,0.526453,5.45471,0.494454,0.492767,0.498858,0.509793,0.50247,0.504141,0.482228,0.51757,0.489027,0.503976,0.491752,0.494855,0.49637,0.506895,0.521723,0.50135,0.510717,0.484431,0.499833,0.513598,0.490871,0.518603,0.496777,0.505544,0.0382311
0.0006,0.500903,0.504803,0.485923,0.516044,0.516188,0.498242,0.492317,0.508224,0.495473,0.494626,0.504228,0.51186,0.494197,0.503316,0.500848,0.484977,0.500786,0.486127,0.493443,0.487172,0.508019,0.502778,0.503243,0.498254,0.527722,5.45398,0.494792,0.492814,0.499157,0.510247,0.502863,0.504575,0.48207,0.518005,0.489137,0.504196,0.492004,0.495365,0.495935,0.507038,0.521662,0.501491,0.511045,0.484438,0.500234,0.513796,0.491192,0.518737,0.496899,0.505414,0.0389879
0.0007,0.501136,0.505166,0.485869,0.516335,0.516667,0.498308,0.492597,0.507972,0.495141,0.494429,0.504639,0.51186,0.49404,0.503632,0.501479,0.485326,0.501101,0.486269,0.49352,0.487711,0.508128,0.502829,0.503348,0.498273,0.529071,5.45272,0.495127,0.493052,0.49895,0.510434,0.502789,0.504391,0.482165,0.518212,0.489351,0.504375,0.491987,0.495742,0.495869,0.507624,0.521786,0.501308,0.511058,0.484644,0.500242,0.51424,0.491308,0.518869,0.49688,0.505677,0.0394161
0.0008,0.501164,0.50545,0.486127,0.515932,0.516848,0.4978,0.492836,0.508032,0.495457,0.494764,0.50487,0.511486,0.494413,0.503792,0.501621,0.485201,0.501403,0.486263,0.493716,0.487561,0.50836,0.503008,0.503438,0.498458,0.530374,5.45117,0.495458,0.493165,0.499145,0.510459,0.503129,0.504863,0.482424,0.518538,0.489158,0.504669,0.491612,0.49607,0.495576,0.507887,0.521692,0.501057,0.511509,0.484496,0.500951,0.514338,0.491462,0.519084,0.497014,0.505842,0.0386691
0.0009,0.50095,0.505658,0.486256,0.516187,0.517049,0.497732,0.492979,0.508547,0.495466,0.495205,0.50483,0.51238,0.494322,0.504004,0.501667,0.48505,0.50137,0.486272,0.493922,0.487946,0.508553,0.503182,0.503478,0.49883,0.532253,5.44794,0.496551,0.493303,0.499403,0.511017,0.503235,0.504981,0.48236,0.518563,0.489407,0.504964,0.491372,0.496618,0.495421,0.50794,0.521735,0.501232,0.51188,0.484552,0.501505,0.514485,0.491285,0.518747,0.497377,0.506015,0.0391018
0.001,0.500878,0.50598,0.486666,0.516467,0.517672,0.497993,0.493261,0.508674,0.495347,0.495507,0.505025,0.512451,0.493855,0.504599,0.501699,0.484964,0.501759,0.486689,0.493918,0.488087,0.509396,0.503334,0.503927,0.498792,0.533325,5.44563,0.497207,0.4939,0.499201,0.511511,0.503438,0.505166,0.48305,0.518353,0.489423,0.505392,0.491459,0.497069,0.495724,0.508496,0.521837,0.501118,0.512054,0.484416,0.50148,0.514779,0.491498,0.519284,0.49712,0.505813,0.038588
