t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0001,0.500959,0.503646,0.484431,0.514635,0.51449,0.497115,0.492232,0.508434,0.494425,0.494333,0.503152,0.51165,0.49292,0.5029,0.499349,0.484211,0.50096,0.485181,0.493308,0.486326,0.506789,0.501985,0.502239,0.497302,0.523896,5.45566,0.493407,0.492084,0.498367,0.508672,0.501963,0.503569,0.481913,0.517003,0.487823,0.502687,0.49076,0.495636,0.496896,0.50611,0.521121,0.500548,0.509682,0.483275,0.499231,0.513183,0.490766,0.517654,0.495855,0.504656,0.0831511
0.0002,0.501031,0.503966,0.484225,0.514572,0.514947,0.496713,0.492831,0.508348,0.494336,0.49458,0.503403,0.511603,0.493089,0.503261,0.499389,0.484037,0.501073,0.485348,0.49335,0.486559,0.506854,0.502136,0.502481,0.497283,0.525472,5.45349,0.494998,0.49249,0.498533,0.508818,0.50178,0.503673,0.48205,0.51709,0.487782,0.502894,0.490917,0.496156,0.496259,0.506596,0.520994,0.50093,0.509897,0.483112,0.499612,0.513147,0.490672,0.517794,0.496151,0.504551,0.082402
0.0003,0.501104,0.504279,0.484035,0.5145,0.5154,0.496313,0.493435,0.508258,0.494243,0.494834,0.503654,0.511546,0.49327,0.503616,0.499427,0.48387,0.501182,0.485516,0.49339,0.486796,0.506915,0.502289,0.502725,0.497273,0.528019,5.44936,0.497582,0.492898,0.498701,0.508957,0.501599,0.503769,0.482201,0.517168,0.48775,0.50309,0.491076,0.496682,0.495618,0.507088,0.520855,0.501323,0.510096,0.48296,0.499995,0.5131,0.490591,0.517922,0.496456,0.504443,0.0825171
0.0004,0.501179,0.504584,0.483861,0.514418,0.515849,0.495914,0.494047,0.508164,0.494144,0.495098,0.503905,0.511478,0.493462,0.503965,0.499464,0.483709,0.501289,0.485684,0.493428,0.487039,0.50697,0.502445,0.502969,0.497272,0.531534,5.44325,0.501157,0.493308,0.498872,0.509088,0.501421,0.503858,0.482365,0.517238,0.487727,0.503275,0.491239,0.497213,0.494973,0.507585,0.520705,0.501727,0.510281,0.48282,0.50038,0.513043,0.490523,0.518037,0.496772,0.504332,0.0824199
0.0005,0.501255,0.504881,0.483702,0.514327,0.516293,0.495516,0.494664,0.508066,0.494041,0.49537,0.504156,0.511401,0.493666,0.504307,0.499498,0.483556,0.501392,0.485852,0.493464,0.487286,0.50702,0.502603,0.503213,0.497282,0.536015,5.43517,0.505718,0.49372,0.499046,0.509213,0.501246,0.50394,0.482542,0.5173,0.487714,0.503447,0.491405,0.497751,0.494325,0.508088,0.520545,0.502143,0.510451,0.482691,0.500765,0.512976,0.490468,0.51814,0.497096,0.504217,0.082422
0.0006,0.501333,0.50517,0.48356,0.514227,0.516732,0.495121,0.495286,0.507965,0.493934,0.49565,0.504407,0.511314,0.493881,0.504643,0.49953,0.48341,0.501492,0.48602,0.493499,0.487539,0.507065,0.502765,0.503457,0.497306,0.541456,5.42514,0.511264,0.494137,0.499222,0.509331,0.501073,0.504014,0.482733,0.517354,0.48771,0.503608,0.491573,0.498293,0.493674,0.508595,0.520374,0.50257,0.510605,0.482575,0.501151,0.512899,0.490426,0.518231,0.49743,0.5041,0.082449
0.0007,0.501413,0.505451,0.483433,0.514117,0.517165,0.49473,0.495914,0.507861,0.493822,0.495939,0.504657,0.511218,0.494107,0.504972,0.49956,0.483271,0.501589,0.486188,0.493532,0.487796,0.507104,0.50293,0.5037,0.497343,0.547852,5.41316,0.517786,0.494558,0.499401,0.509441,0.500903,0.50408,0.482937,0.517399,0.487717,0.503757,0.491745,0.49884,0.493022,0.509107,0.520193,0.503007,0.510745,0.482471,0.501537,0.512812,0.490398,0.518309,0.497772,0.503979,0.0827529
0.0008,0.501494,0.505724,0.483323,0.513999,0.517593,0.494341,0.496546,0.507754,0.493707,0.496237,0.504906,0.511113,0.494345,0.505294,0.499588,0.48314,0.501682,0.486356,0.493565,0.488057,0.507138,0.503098,0.503942,0.497398,0.555194,5.39924,0.52528,0.494986,0.499582,0.509545,0.500737,0.504139,0.483154,0.517436,0.487733,0.503894,0.49192,0.499392,0.492368,0.509622,0.520003,0.503454,0.510869,0.48238,0.501924,0.512715,0.490382,0.518375,0.498124,0.503855,0.082761
0.0009,0.501578,0.505988,0.483229,0.513872,0.518014,0.493956,0.497182,0.507643,0.493587,0.496542,0.505155,0.510998,0.494593,0.505609,0.499614,0.483017,0.501772,0.486523,0.493596,0.488323,0.507167,0.50327,0.504183,0.497471,0.563476,5.38339,0.533737,0.495423,0.499766,0.509641,0.500573,0.504189,0.483385,0.517464,0.48776,0.504019,0.492098,0.499948,0.491714,0.510141,0.519803,0.503912,0.510979,0.482301,0.50231,0.512608,0.49038,0.518429,0.498483,0.503728,0.0823121
0.001,0.501663,0.506243,0.483151,0.513736,0.518428,0.493576,0.497821,0.50753,0.493463,0.496856,0.505402,0.510875,0.494853,0.505918,0.499638,0.482902,0.501859,0.48669,0.493626,0.488593,0.50719,0.503445,0.504423,0.497566,0.572688,5.36563,0.543148,0.49587,0.499952,0.509731,0.500413,0.504232,0.483628,0.517483,0.487798,0.504133,0.492279,0.500507,0.49106,0.510662,0.519595,0.504379,0.511074,0.482235,0.502695,0.512492,0.490391,0.51847,0.498852,0.503599,0.082438
