t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0001,0.497689,0.476126,0.521643,0.484652,0.498326,0.474867,0.512542,0.542036,0.510234,0.456256,0.459351,0.515992,0.496497,0.516035,0.580085,0.492888,0.476106,0.433843,0.514809,0.468336,0.459373,0.480406,0.504422,0.540986,0.439703,5.55545,0.596868,0.539441,0.536768,0.505619,0.516008,0.480349,0.532628,0.439795,0.475273,0.495778,0.555622,0.515186,0.552296,0.54753,0.473482,0.51217,0.486033,0.572936,0.491734,0.521881,0.443438,0.479538,0.449825,0.509305,0.0105059
0.0002,0.497536,0.475999,0.522297,0.484656,0.498273,0.474522,0.513175,0.54217,0.51025,0.457604,0.458094,0.516418,0.495381,0.51731,0.580274,0.492809,0.476204,0.434133,0.514547,0.468709,0.459139,0.480625,0.503942,0.542044,0.439692,5.55479,0.598936,0.540301,0.535579,0.506117,0.515093,0.48028,0.533791,0.44016,0.475954,0.495422,0.554918,0.514787,0.552945,0.547973,0.473775,0.512179,0.485646,0.573439,0.491557,0.522574,0.443163,0.479988,0.448871,0.510048,0.0102489
0.0003,0.497375,0.475892,0.52293,0.484672,0.498209,0.474178,0.513838,0.542259,0.510266,0.458985,0.456833,0.516838,0.494261,0.518585,0.580449,0.492747,0.4763,0.434437,0.514257,0.469089,0.458923,0.480838,0.503463,0.543095,0.440698,5.55212,0.602001,0.541169,0.534385,0.506618,0.514166,0.480242,0.534917,0.440546,0.476636,0.495085,0.554178,0.514403,0.553586,0.548405,0.474096,0.512172,0.485282,0.573907,0.491399,0.523258,0.442893,0.480454,0.447908,0.510788,0.010319
0.0004,0.497208,0.475808,0.523538,0.484701,0.498136,0.473837,0.514531,0.542303,0.510283,0.460395,0.455571,0.517251,0.493137,0.51986,0.58061,0.492702,0.476394,0.434757,0.513938,0.469475,0.458723,0.481045,0.502986,0.544138,0.44272,5.54743,0.606062,0.542046,0.533187,0.50712,0.513227,0.480235,0.536007,0.440956,0.477318,0.49477,0.553402,0.514035,0.554219,0.548824,0.474445,0.512149,0.484939,0.574339,0.491261,0.523931,0.442628,0.480936,0.446938,0.511522,0.0103221
0.0005,0.497033,0.475746,0.524124,0.484742,0.498054,0.473497,0.515255,0.542301,0.510303,0.461834,0.454309,0.517655,0.492011,0.521133,0.580755,0.492675,0.476487,0.43509,0.513592,0.469867,0.458543,0.481245,0.502511,0.545174,0.445755,5.54073,0.611116,0.542932,0.531987,0.507624,0.512277,0.480258,0.537058,0.441388,0.477999,0.494475,0.55259,0.513685,0.554843,0.549232,0.47482,0.512111,0.484619,0.574735,0.491142,0.524595,0.44237,0.481432,0.445962,0.51225,0.0103219
0.0006,0.496852,0.475707,0.524685,0.484795,0.497961,0.473159,0.516008,0.542254,0.510326,0.4633,0.453049,0.51805,0.490883,0.522404,0.580887,0.492666,0.476578,0.435438,0.513218,0.470266,0.45838,0.481437,0.502041,0.546203,0.4498,5.53202,0.617158,0.543827,0.530785,0.508126,0.511317,0.480311,0.538071,0.441845,0.478678,0.494203,0.551742,0.513351,0.555458,0.549627,0.475223,0.512058,0.484321,0.575094,0.491044,0.525247,0.442119,0.481942,0.44498,0.512973,0.0164051
0.0007,0.496663,0.47569,0.525223,0.48486,0.497859,0.472824,0.51679,0.542161,0.510353,0.46479,0.451792,0.518434,0.489754,0.523672,0.581005,0.492674,0.476668,0.4358,0.512817,0.470669,0.458237,0.481621,0.501575,0.547226,0.45485,5.52131,0.624182,0.544732,0.529582,0.508628,0.510348,0.480394,0.539045,0.442326,0.479354,0.493953,0.550857,0.513036,0.556064,0.550011,0.475652,0.511989,0.484046,0.575417,0.490967,0.525889,0.441874,0.482466,0.443993,0.51369,0.0102711
0.0008,0.496467,0.475696,0.525736,0.484938,0.497748,0.472492,0.517601,0.542023,0.510385,0.466302,0.45054,0.518806,0.488627,0.524935,0.581109,0.492699,0.476757,0.436175,0.512389,0.471078,0.458113,0.481795,0.501114,0.548243,0.4609,5.50861,0.632183,0.54565,0.52838,0.509126,0.509372,0.480507,0.53998,0.442832,0.480027,0.493726,0.549936,0.51274,0.556659,0.550384,0.476107,0.511906,0.483793,0.575702,0.49091,0.526519,0.441637,0.483002,0.443003,0.514399,0.0102851
0.0009,0.496264,0.475724,0.526224,0.485028,0.497628,0.472163,0.51844,0.541839,0.510423,0.467836,0.449295,0.519166,0.487502,0.526194,0.581199,0.492741,0.476845,0.436563,0.511935,0.471492,0.458009,0.48196,0.50066,0.549255,0.467943,5.49393,0.641152,0.54658,0.527179,0.509622,0.508389,0.480649,0.540874,0.443364,0.480696,0.493522,0.548979,0.512463,0.557243,0.550745,0.476589,0.511809,0.483564,0.57595,0.490874,0.527138,0.441407,0.483551,0.44201,0.515102,0.0103042
0.001,0.496055,0.475776,0.526688,0.48513,0.497499,0.471838,0.519307,0.541609,0.510468,0.469389,0.448059,0.519512,0.48638,0.527446,0.581276,0.492801,0.476932,0.436965,0.511454,0.471911,0.457925,0.482114,0.500213,0.550265,0.475971,5.47729,0.65108,0.547525,0.52598,0.510112,0.5074,0.480821,0.541728,0.443922,0.481359,0.493342,0.547985,0.512206,0.557816,0.551095,0.477096,0.511698,0.483358,0.576159,0.49086,0.527745,0.441186,0.484111,0.441014,0.515797,0.0103769
0.0011,0.495838,0.475851,0.527126,0.485244,0.497361,0.471517,0.5202,0.541335,0.51052,0.470959,0.446833,0.519843,0.485262,0.528692,0.581339,0.492878,0.477019,0.437379,0.510947,0.472334,0.457862,0.482258,0.499773,0.551273,0.484975,5.45869,0.661958,0.548488,0.524784,0.510598,0.506407,0.481021,0.542541,0.444507,0.482017,0.493186,0.546954,0.511969,0.558376,0.551433,0.477629,0.511573,0.483175,0.576331,0.490867,0.52834,0.440973,0.484682,0.440018,0.516484,0.010298
